PLAYER NAME|CLUB|LEAGUE|POS|OVR|PAC|SHO|PAS|DRI|DEF|PHY
Robert Lewandowski|FC Barcelona|LaLiga Santander|ST|99|97|99|90|98|52|98
Mohamed Salah|Liverpool|Premier League|CAM|99|99|99|96|99|54|88
Ousmane Dembélé|FC Barcelona|LaLiga Santander|RW|99|99|96|94|99|49|79
Raphaël Varane|Manchester Utd|Premier League|CB|99|96|61|80|83|99|98
Cristiano Ronaldo|Manchester Utd|Premier League|LW|99|99|99|90|97|50|92
Lionel Messi|Paris SG|Ligue 1 Uber Eats|CF|99|95|98|99|99|42|78
Pelé|Icons|Icons|CAM|99|96|97|96|97|62|79
Christian Eriksen|Manchester Utd|Premier League|CM|98|96|97|99|98|90|92
Neymar Jr|Paris SG|Ligue 1 Uber Eats|CAM|98|99|95|94|99|44|73
Wissam Ben Yedder|AS Monaco|Ligue 1 Uber Eats|ST|98|99|99|93|99|55|85
Abedi Ayew|Germany 1. Bundesliga|Bundesliga|LW|98|98|93|96|99|64|75
N'Golo Kanté|Chelsea|Premier League|CAM|98|92|93|92|96|92|91
Gareth Bale|Real Madrid|LaLiga Santander|RM|98|99|98|97|97|70|96
David Ginola|England Premier League|Premier League|ST|98|98|96|95|97|63|92
Franck Ribéry|Fiorentina|Serie A TIM|LW|98|96|95|97|99|46|81
Karim Benzema|Real Madrid|LaLiga Santander|CF|98|95|98|90|98|47|87
Diego Maradona|Icons|Icons|CAM|98|93|94|95|98|42|78
Pelé|Icons|Icons|CAM|98|95|96|93|96|60|76
Lionel Messi|Paris SG|Ligue 1 Uber Eats|RW|98|93|97|98|99|40|76
Robert Lewandowski|FC Bayern München|Bundesliga|ST|98|93|98|87|95|50|95
Georginio Wijnaldum|Roma FC|Serie A TIM|CM|97|94|91|94|99|94|94
Ryan Gravenberch|FC Bayern München|Bundesliga|CM|97|96|92|96|98|90|92
Allan Saint-Maximin|Newcastle Utd|Premier League|LM|97|99|95|91|99|35|87
Wissam Ben Yedder|AS Monaco|Ligue 1 Uber Eats|LW|97|99|97|92|99|55|84
Diego Milito|Italy Serie A|Serie A TIM|CAM|97|94|95|94|97|60|88
Diego Milito|Italy Serie A|Serie A TIM|RW|97|97|97|89|95|51|88
Antonio Di Natale|Italy Serie A|Serie A TIM|RW|97|97|98|94|98|55|80
Iván Córdoba|Italy Serie A|Serie A TIM|RB|97|96|75|84|90|96|94
Ole Gunnar Solskjær|England Premier League|Premier League|LW|97|99|98|90|94|55|85
Ole Gunnar Solskjær|England Premier League|Premier League|CAM|97|90|94|97|98|60|82
Marcus Rashford|Manchester Utd|Premier League|CAM|97|99|97|93|96|55|91
